"","time","alr_w"
"1",2021-10-07,0.0498634046412282
"2",2021-10-08,0.0504656297503251
"3",2021-10-11,0.0498765813775372
"4",2021-10-12,0.0490525568074038
"5",2021-10-13,0.0526556341289716
"6",2021-10-14,0.0555131737615969
"7",2021-10-15,0.0575445060234262
"8",2021-10-18,0.055252439826792
"9",2021-10-19,0.054627256105385
"10",2021-10-20,0.0542922697324535
"11",2021-10-21,0.0530084359692466
"12",2021-10-22,0.0545093424492196
"13",2021-10-25,0.0510207013187155
"14",2021-10-26,0.0533977684863895
"15",2021-10-27,0.0549850197735607
"16",2021-10-28,0.0543306655719013
"17",2021-10-29,0.0532715237637288
"18",2021-11-01,0.0564777521606683
"19",2021-11-02,0.0557505697837583
"20",2021-11-03,0.0552327685723866
"21",2021-11-04,0.0557050638605857
"22",2021-11-05,0.0551799975037362
"23",2021-11-08,0.0553903741909832
"24",2021-11-09,0.0543968358602333
"25",2021-11-10,0.0515593993234967
"26",2021-11-11,0.0492144228574276
"27",2021-11-12,0.0527743850023168
"28",2021-11-15,0.0532633545134362
"29",2021-11-16,0.0524498358137785
"30",2021-11-17,0.0516362738432668
"31",2021-11-18,0.0531006408757366
"32",2021-11-19,0.055734279169783
"33",2021-11-22,0.046859029275861
"34",2021-11-23,0.0485921944682561
"35",2021-11-24,0.0421219558175021
"36",2021-11-25,0.0432246119017049
"37",2021-11-26,0.043925357138121
"38",2021-11-29,0.0400474496916986
"39",2021-11-30,0.0423815904897665
"40",2021-12-01,0.0489533620157149
"41",2021-12-02,0.0451834267691484
"42",2021-12-03,0.0429605734759659
"43",2021-12-06,0.0414289253491888
"44",2021-12-07,0.0438390134018543
"45",2021-12-08,0.0475531385012947
"46",2021-12-09,0.0473466097357331
"47",2021-12-10,0.0468536871230068
"48",2021-12-13,0.0473582566419281
"49",2021-12-14,0.0477927678252455
"50",2021-12-15,0.0470683895898869
"51",2021-12-16,0.0507996833362073
"52",2021-12-17,0.0509935030970801
"53",2021-12-20,0.0531811029619297
"54",2021-12-21,0.0433799771046187
"55",2021-12-22,0.0454353262080186
"56",2021-12-23,0.043912997725387
"57",2021-12-24,0.0430343412884738
"58",2021-12-27,0.0402634477908732
"59",2021-12-28,0.0455285967031887
"60",2021-12-29,0.0468733445758087
"61",2021-12-30,0.0485504166629669
"62",2021-12-31,0.0500097474889173
"63",2022-01-03,0.0475337812594273
"64",2022-01-04,0.0482580390965094
"65",2022-01-05,0.0529987659301226
"66",2022-01-06,0.0443306848148359
"67",2022-01-07,0.0437285623584256
"68",2022-01-10,0.0387257041736692
"69",2022-01-11,0.0358606747764047
"70",2022-01-12,0.0381999134832595
"71",2022-01-13,0.0410051471683415
"72",2022-01-14,0.0356204895766449
"73",2022-01-17,0.0328983327772529
"74",2022-01-18,0.0317842622286163
"75",2022-01-19,0.0281628190804741
"76",2022-01-20,0.0328793002638498
"77",2022-01-21,0.03125247242677
"78",2022-01-24,0.0217010125865532
"79",2022-01-25,0.0189580439002381
"80",2022-01-26,0.0220219023910901
"81",2022-01-27,0.0181436763551402
"82",2022-01-28,0.0172642629234327
"83",2022-01-31,0.016589229619402
"84",2022-02-01,0.0167855167368311
"85",2022-02-02,0.0220321055811712
"86",2022-02-03,0.0237669757948918
"87",2022-02-04,0.0211680725713812
"88",2022-02-07,0.021814719933793
"89",2022-02-08,0.0177570800671691
"90",2022-02-09,0.0216277639216658
"91",2022-02-10,0.0238264720160517
"92",2022-02-11,0.0205951888018684
"93",2022-02-14,0.0128676184656306
"94",2022-02-15,0.0142730021158979
"95",2022-02-16,0.0167276775233953
"96",2022-02-17,0.0208420411701663
"97",2022-02-18,0.0182607668135785
"98",2022-02-21,0.0143126125135232
"99",2022-02-22,0.0134639484701398
"100",2022-02-23,0.0169773075449681
"101",2022-02-24,0
"102",2022-02-25,0.00430311899117577
"103",2022-02-28,0.0089410485633553
"104",2022-03-01,0.0137467511140513
"105",2022-03-02,0.0108605723949601
"106",2022-03-03,0.0146902181186099
"107",2022-03-04,0.02101827586219
"108",2022-03-07,0.0258461692483631
"109",2022-03-08,0.0291463301875486
"110",2022-03-09,0.0192714712335593
"111",2022-03-10,0.0170867003940515
"112",2022-03-11,0.0163532576822676
"113",2022-03-14,0.0150573611200088
"114",2022-03-15,0.0208821698458501
